home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
Spain,Yugoslavia,2,NA,NA,1,NA,NA,Jose Santamaria,Luis Arconada,Miljan Miljanic,Ivica Šurjak,Juanito (P) · 14|Enrique Saura · 66,Ivan Gudelj · 10,48000,"Luis Casanova, Valencia",Henning Lund-Sorensen (Referee) · Antonio Garrido (AR1) · Arturo Andres Ithurralde (AR2),1982-06-20,2–1,Henning Lund-Sorensen,NA,First group stage,Spain,1982,Spain
Poland,Cameroon,0,NA,NA,0,NA,NA,Antoni Piechniczek,Władysław Żmuda,Jean Vincent,Thomas N'Kono,NA,NA,19000,"Riazor, La Coruï¿½A",Alexis Ponnet (Referee) · Walter Eschweiler (AR1) · Mario Rubio Vazquez (AR2),1982-06-19,0–0,Alexis Ponnet,NA,First group stage,Spain,1982,Draw
Soviet Union,New Zealand,3,NA,NA,0,NA,NA,Konstantin Beskov,Aleksandre Chivadze,John Adshead,Steve Sumner,Yuri Gavrilov · 24|Oleh Blokhin · 48|Sergei Pavlovich Baltacha · 68,NA,19000,"La Rosaleda, Malaga",Yusef Mohamed El Ghoul (Referee) · Emilio Soriano Aladren (AR1) · Clive White (AR2),1982-06-19,3–0,Yusef Mohamed El Ghoul,NA,First group stage,Spain,1982,Soviet Union
Belgium,El Salvador,1,NA,NA,0,NA,NA,Guy Thys,Eric Gerets,Mauricio Rodriguez,Norberto Huezo,Ludo Coeck · 19,NA,15000,"Nuevo Estadio, Elche",Malcolm Moffatt (Referee) · Gaston Castro (AR1) · Alojzy Jarguz (AR2),1982-06-19,1–0,Malcolm Moffatt,NA,First group stage,Spain,1982,Belgium
Italy,Peru,1,NA,NA,1,NA,NA,Enzo Bearzot,Dino Zoff,Tim,Rubén Toribio Díaz,Bruno Conti · 18,Rubén Toribio Díaz · 83,25000,"Estadio Municipal de Balaï¿½dos, Vigo",Walter Eschweiler (Referee) · Mario Rubio Vazquez (AR1) · Abraham Klein (AR2),1982-06-18,1–1,Walter Eschweiler,NA,First group stage,Spain,1982,Draw
Brazil,Scotland,4,NA,NA,1,NA,NA,Tele Santana,Sócrates,Jock Stein,Graeme Souness,Zico · 33|Oscar · 48|Éder Aleixo de Assis · 63|Paulo Roberto Falcão · 87,David Narey · 18,47379,"Benito Villamarin, Seville",Jesus Paulino Siles (Referee) · Thomson Tam Sun Chan (AR1) · Adolf Prokop (AR2),1982-06-18,4–1,Jesus Paulino Siles,NA,First group stage,Spain,1982,Brazil
Argentina,Hungary,4,NA,NA,1,NA,NA,Cesar Luis Menotti,Daniel Passarella,Kalman Meszoly,Tibor Nyilasi,Daniel Bertoni · 26|Diego Maradona · 28|Diego Maradona · 57|Osvaldo Ardiles · 60,Gábor Pölöskei · 76,32093,"Jose Rico Perez, Alicante",Belaid Lacarne (Referee) · Michel Vautrot (AR1) · Nicolae Rainea (AR2),1982-06-18,4–1,Belaid Lacarne,NA,First group stage,Spain,1982,Argentina
Chile,Austria,0,NA,NA,1,NA,NA,Luis Alberto Santibanez,Elías Figueroa,Georg Schmidt,Erich Obermayer,NA,Walter Schachner · 22,22500,"Carlos Tartiere, Oviedo",Juan Cardellino De San Vicente (Referee) · Paolo Casarin (AR1) · Gilberto Aristizabal Murcia (AR2),1982-06-17,0–1,Juan Cardellino De San Vicente,NA,First group stage,Spain,1982,Austria
Czechoslovakia,Kuwait,1,NA,NA,1,NA,NA,Jozef Venglos,Zdeněk Nehoda,Carlos Alberto Parreira,Saad Al-Houti,Antonín Panenka (P) · 21,Faisal Al-Dakhil · 57,25000,"Jose Zorrilla, Valladolid",Benjamin Dwomoh (Referee) · Romulo Mendez Molina (AR1) · Robert Valentine (AR2),1982-06-17,1–1,Benjamin Dwomoh,NA,First group stage,Spain,1982,Draw
Yugoslavia,Northern Ireland,0,NA,NA,0,NA,NA,Miljan Miljanic,Ivica Šurjak,Billy Bingham,Martin O'Neill,NA,NA,25000,"La Romareda, Zaragoza",Erik Fredriksson (Referee) · Bruno Galler (AR1) · Karoly Palotai (AR2),1982-06-17,0–0,Erik Fredriksson,NA,First group stage,Spain,1982,Draw
