team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Uruguay,1,1.6,NA,Óscar Tabárez,Diego Godín,José María Giménez · 89,27015,"Stadion Central'nyj, Yekaterinburg",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Milorad Mažić (4th) · Danny Makkelie (VAR),2018-06-15,Björn Kuipers,NA,Group stage,Russia,2018,N,1
IR Iran,1,1,NA,Carlos Queiroz,Masoud Shojaei,Aziz Bouhaddouz (OG) · 90+5,62548,"Gazprom Arena, Sankt-Petersburg",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR),2018-06-15,Cüneyt Çakιr,NA,Group stage,Russia,2018,N,1
Spain,3,1.6,NA,Fernando Hierro,Sergio Ramos,Diego Costa · 24|Diego Costa · 55|Nacho · 58,43866,"Olimpiyskiy Stadion Fisht, Sochi",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Ryūji Satō (4th) · Massimiliano Irrati (VAR),2018-06-15,Gianluca Rocchi,NA,Group stage,Russia,2018,N,0.5
Saudi Arabia,0,0.2,NA,Juan Antonio Pizzi,Osama Hawsawi,NA,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Juan Pablo Belatti (AR1) · Hernán Maidana (AR2) · Sandro Ricci (4th) · Massimiliano Irrati (VAR),2018-06-14,Néstor Pitana,NA,Group stage,Russia,2018,N,0
Argentina,0,NA,NA,Alejandro Sabella,NA,NA,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Carlos Vera (4th),2014-07-13,Nicola Rizzoli,Required Extra Time,Final,Brazil,2014,N,0
Netherlands,3,NA,NA,Louis van Gaal,NA,Robin van Persie (P) · 3|Daley Blind · 17|Georginio Wijnaldum · 90+1,68034,"Estádio Nacional de Brasília, Brasília",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Yuichi Nishimura (4th),2014-07-12,Djamel Haïmoudi,NA,Third-place match,Brazil,2014,N,1
Argentina,0,NA,4,Alejandro Sabella,NA,NA,63267,"Arena Corinthians, São Paulo",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Jonas Eriksson (4th),2014-07-09,Cüneyt Çakιr,Argentina won on penalty kicks following extra time,Semi-finals,Brazil,2014,N,0.5
Germany,7,NA,NA,Joachim Löw,NA,Thomas Müller · 11|Miroslav Klose · 23|Toni Kroos · 24|Toni Kroos · 26|Sami Khedira · 29|André Schürrle · 69|André Schürrle · 79,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-07-08,Marco Antonio Rodríguez,NA,Semi-finals,Brazil,2014,N,1
Belgium,0,NA,NA,Marc Wilmots,NA,NA,68551,"Estádio Nacional de Brasília, Brasília",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Benjamin Williams (4th),2014-07-05,Nicola Rizzoli,NA,Quarter-finals,Brazil,2014,N,0
Costa Rica,0,NA,3,Jorge Luis Pinto,NA,NA,51179,"Itaipava Arena Fonte Nova, Salvador",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Noumandiez Doué (4th),2014-07-05,Ravshan Irmatov,Netherlands won on penalty kicks following extra time,Quarter-finals,Brazil,2014,N,0.5
Germany,1,NA,NA,Joachim Löw,NA,Mats Hummels · 13,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Jonas Eriksson (4th),2014-07-04,Néstor Pitana,NA,Quarter-finals,Brazil,2014,N,1
Colombia,1,NA,NA,José Pekerman,NA,James Rodríguez (P) · 80,60342,"Estádio Castelão, Fortaleza",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Svein Oddvar Moen (4th),2014-07-04,Carlos Velasco,NA,Quarter-finals,Brazil,2014,N,0
Switzerland,0,NA,NA,Ottmar Hitzfeld,NA,NA,63255,"Arena Corinthians, São Paulo",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-07-01,Jonas Eriksson,Required Extra Time,Round of 16,Brazil,2014,N,0
United States,1,NA,NA,Jürgen Klinsmann,NA,Julian Green · 107,51227,"Itaipava Arena Fonte Nova, Salvador",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Norbert Hauata (4th),2014-07-01,Djamel Haïmoudi,Required Extra Time,Round of 16,Brazil,2014,N,0
Nigeria,0,NA,NA,Stephen Keshi,NA,NA,67882,"Estádio Nacional de Brasília, Brasília",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-30,Mark Geiger,NA,Round of 16,Brazil,2014,N,0
Algeria,1,NA,NA,Vahid Halilhodžić,NA,Abdelmoumene Djabou · 120+1,43063,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Walter López (4th),2014-06-30,Sandro Ricci,Required Extra Time,Round of 16,Brazil,2014,N,0
Mexico,1,NA,NA,Miguel Herrera,NA,Giovani dos Santos · 48,58817,"Estádio Castelão, Fortaleza",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Carlos Vera (4th),2014-06-29,Pedro Proença,NA,Round of 16,Brazil,2014,N,0
Greece,1,NA,3,Fernando Santos,NA,Sokratis Papastathopoulos · 90+1,41242,"Itaipava Arena Pernambuco, Recife",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Nawaf Shukralla (4th),2014-06-29,Benjamin Williams,Costa Rica won on penalty kicks following extra time,Round of 16,Brazil,2014,N,0.5
Chile,1,NA,2,Jorge Sampaoli,NA,Alexis Sánchez · 32,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Felix Brych (4th),2014-06-28,Howard Webb,Brazil won on penalty kicks following extra time,Round of 16,Brazil,2014,N,0.5
Uruguay,0,NA,NA,Óscar Tabárez,NA,NA,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-28,Björn Kuipers,NA,Round of 16,Brazil,2014,N,0
Germany,1,NA,NA,Joachim Löw,NA,Thomas Müller · 55,41876,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-26,Ravshan Irmatov,NA,Group stage,Brazil,2014,N,1
Ghana,1,NA,NA,Kwesi Appiah,NA,Asamoah Gyan · 57,67540,"Estádio Nacional de Brasília, Brasília",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Wilmar Roldán (4th),2014-06-26,Nawaf Shukralla,NA,Group stage,Brazil,2014,N,0
Belgium,1,NA,NA,Marc Wilmots,NA,Steven Defour · 44|Jan Vertonghen · 77,61397,"Arena Corinthians, São Paulo",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Víctor Carrillo (4th),2014-06-26,Benjamin Williams,NA,Group stage,Brazil,2014,N,1
Russia,1,NA,NA,Fabio Capello,NA,Aleksandr Kokorin · 6,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Joel Aguilar (4th),2014-06-26,Cüneyt Çakιr,NA,Group stage,Brazil,2014,N,0.5
IR Iran,1,NA,NA,Carlos Queiroz,NA,Reza Ghoochannejad · 82,48011,"Itaipava Arena Fonte Nova, Salvador",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Enrique Osses (4th),2014-06-25,Carlos Velasco,NA,Group stage,Brazil,2014,N,0
Argentina,3,NA,NA,Alejandro Sabella,NA,Lionel Messi · 3|Lionel Messi · 45+1|Marcos Rojo · 50,43285,"Estádio José Pinheiro Borba, Porto Alegre",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),2014-06-25,Nicola Rizzoli,NA,Group stage,Brazil,2014,N,1
Switzerland,3,NA,NA,Ottmar Hitzfeld,NA,Xherdan Shaqiri · 6|Xherdan Shaqiri · 31|Xherdan Shaqiri · 71,40322,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Milorad Mažić (4th),2014-06-25,Néstor Pitana,NA,Group stage,Brazil,2014,N,1
France,0,NA,NA,Didier Deschamps,NA,NA,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Björn Kuipers (4th),2014-06-25,Noumandiez Doué,NA,Group stage,Brazil,2014,N,0.5
England,0,NA,NA,Roy Hodgson,NA,NA,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Alireza Faghani (4th),2014-06-24,Djamel Haïmoudi,NA,Group stage,Brazil,2014,N,0.5
Uruguay,1,NA,NA,Óscar Tabárez,NA,Diego Godín · 81,39706,"Arena das Dunas, Natal",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),2014-06-24,Marco Antonio Rodríguez,NA,Group stage,Brazil,2014,N,1
Colombia,4,NA,NA,José Pekerman,NA,Juan Cuadrado (P) · 17|Jackson Martínez · 55|Jackson Martínez · 82|James Rodríguez · 90,40340,"Arena Pantanal, Cuiabá",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Roberto Moreno (4th),2014-06-24,Pedro Proença,NA,Group stage,Brazil,2014,N,1
Côte d'Ivoire,1,NA,NA,Sabri Lamouchi,NA,Wilfried Bony · 74,59095,"Estádio Castelão, Fortaleza",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Sandro Ricci (4th),2014-06-24,Carlos Vera,NA,Group stage,Brazil,2014,N,0
Spain,3,NA,NA,Del Bosque,NA,David Villa · 36|Fernando Torres · 69|Juan Mata · 82,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Norbert Hauata (4th),2014-06-23,Nawaf Shukralla,NA,Group stage,Brazil,2014,N,1
Chile,0,NA,NA,Jorge Sampaoli,NA,NA,62996,"Arena Corinthians, São Paulo",Bakary Papa Gassama (Referee) · Evarist Menkouande (AR1) · Félicien Kabanda (AR2) · Joel Aguilar (4th),2014-06-23,Bakary Papa Gassama,NA,Group stage,Brazil,2014,N,0
Mexico,3,NA,NA,Miguel Herrera,NA,Rafael Márquez · 72|Andrés Guardado · 75|Javier Hernández · 82,41212,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),2014-06-23,Ravshan Irmatov,NA,Group stage,Brazil,2014,N,1
Brazil,4,NA,NA,Luiz Felipe Scolari,NA,Neymar · 17|Neymar · 35|Fred · 49|Fernandinho · 84,69112,"Estádio Nacional de Brasília, Brasília",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),2014-06-23,Jonas Eriksson,NA,Group stage,Brazil,2014,N,1
Russia,0,NA,NA,Fabio Capello,NA,NA,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Carlos Vera (4th),2014-06-22,Felix Brych,NA,Group stage,Brazil,2014,N,0
Algeria,4,NA,NA,Vahid Halilhodžić,NA,Islam Slimani · 26|Rafik Halliche · 28|Abdelmoumene Djabou · 38|Yacine Brahimi · 62,42732,"Estádio José Pinheiro Borba, Porto Alegre",Wilmar Roldán (Referee) · Eduardo Díaz (AR1) · Christian Lescano (AR2) · Alireza Faghani (4th),2014-06-22,Wilmar Roldán,NA,Group stage,Brazil,2014,N,1
Portugal,2,NA,NA,Paulo Bento,NA,Nani · 5|Silvestre Varela · 90+5,40123,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Walter López (4th),2014-06-22,Néstor Pitana,NA,Group stage,Brazil,2014,N,0.5
IR Iran,0,NA,NA,Carlos Queiroz,NA,NA,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Norbert Hauata (4th),2014-06-21,Milorad Mažić,NA,Group stage,Brazil,2014,N,0
Ghana,2,NA,NA,Kwesi Appiah,NA,André Ayew · 54|Asamoah Gyan · 63,59621,"Estádio Castelão, Fortaleza",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Víctor Carrillo (4th),2014-06-21,Sandro Ricci,NA,Group stage,Brazil,2014,N,0.5
Bosnia and Herzegovina,0,NA,NA,Safet Sušić,NA,NA,40499,"Arena Pantanal, Cuiabá",Peter O'Leary (Referee) · Jan-Hendrik Hintz (AR1) · Mark Rule (AR2) · Roberto Moreno (4th),2014-06-21,Peter O'Leary,NA,Group stage,Brazil,2014,N,0
Costa Rica,1,NA,NA,Jorge Luis Pinto,NA,Bryan Ruiz · 44,40285,"Itaipava Arena Pernambuco, Recife",Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th),2014-06-20,Enrique Osses,NA,Group stage,Brazil,2014,N,1
France,5,NA,NA,Didier Deschamps,NA,Olivier Giroud · 17|Blaise Matuidi · 18|Mathieu Valbuena · 40|Karim Benzema · 67|Moussa Sissoko · 73,51003,"Itaipava Arena Fonte Nova, Salvador",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),2014-06-20,Björn Kuipers,NA,Group stage,Brazil,2014,N,1
Ecuador,2,NA,NA,Reinaldo Rueda,NA,Enner Valencia · 34|Enner Valencia · 65,39224,"Estádio Joaquim Américo Guimarães, Curitiba",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Yuichi Nishimura (4th),2014-06-20,Benjamin Williams,NA,Group stage,Brazil,2014,N,1
Côte d'Ivoire,1,NA,NA,Sabri Lamouchi,NA,Gervinho · 73,68748,"Estádio Nacional de Brasília, Brasília",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Víctor Carrillo (4th),2014-06-19,Howard Webb,NA,Group stage,Brazil,2014,N,0
England,1,NA,NA,Roy Hodgson,NA,Wayne Rooney · 75,62575,"Arena Corinthians, São Paulo",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Alireza Faghani (4th),2014-06-19,Carlos Velasco,NA,Group stage,Brazil,2014,N,0
Greece,0,NA,NA,Fernando Santos,NA,Kostas Katsouranis · 38,39485,"Arena das Dunas, Natal",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Norbert Hauata (4th),2014-06-19,Joel Aguilar,NA,Group stage,Brazil,2014,N,0.5
Netherlands,3,NA,NA,Louis van Gaal,NA,Arjen Robben · 20|Robin van Persie · 58|Memphis Depay · 68,42877,"Estádio José Pinheiro Borba, Porto Alegre",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Bakary Papa Gassama (4th),2014-06-18,Djamel Haïmoudi,NA,Group stage,Brazil,2014,N,1
Chile,2,NA,NA,Jorge Sampaoli,NA,Eduardo Vargas · 20|Charles Aránguiz · 43,74101,"Estadio Jornalista Mário Filho, Rio de Janeiro",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Nawaf Shukralla (4th),2014-06-18,Mark Geiger,NA,Group stage,Brazil,2014,N,1
Croatia,4,NA,NA,Niko Kovač,NA,Ivica Olić · 11|Ivan Perišić · 48|Mario Mandžukić · 61|Mario Mandžukić · 73,39982,"Arena da Amazônia, Manaus",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Walter López (4th),2014-06-18,Pedro Proença,NA,Group stage,Brazil,2014,N,1
Algeria,1,NA,NA,Vahid Halilhodžić,NA,Sofiane Feghouli (P) · 25,56800,"Estádio Governador Magalhães Pinto, Belo Horizonte",Marcos Quintero (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Alireza Faghani (4th),2014-06-17,Marcos Quintero,NA,Group stage,Brazil,2014,N,0
Mexico,0,NA,NA,Miguel Herrera,NA,NA,60342,"Estádio Castelão, Fortaleza",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Svein Oddvar Moen (4th),2014-06-17,Cüneyt Çakιr,NA,Group stage,Brazil,2014,N,0.5
Korea Republic,1,NA,NA,Hong Myung-bo,NA,Lee Keun-ho · 68,37603,"Arena Pantanal, Cuiabá",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Roberto Moreno (4th),2014-06-17,Néstor Pitana,NA,Group stage,Brazil,2014,N,0.5
Portugal,0,NA,NA,Paulo Bento,NA,Pepe · 37,51081,"Itaipava Arena Fonte Nova, Salvador",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Alioum Alioum (4th),2014-06-16,Milorad Mažić,NA,Group stage,Brazil,2014,N,0
Nigeria,0,NA,NA,Stephen Keshi,NA,NA,39081,"Estádio Joaquim Américo Guimarães, Curitiba",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Wilmar Roldán (4th),2014-06-16,Carlos Vera,NA,Group stage,Brazil,2014,N,0.5
United States,2,NA,NA,Jürgen Klinsmann,NA,Clint Dempsey · 1|John Brooks · 86,39760,"Arena das Dunas, Natal",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Norbert Hauata (4th),2014-06-16,Jonas Eriksson,NA,Group stage,Brazil,2014,N,1
Ecuador,1,NA,NA,Reinaldo Rueda,NA,Enner Valencia · 22,68351,"Estádio Nacional de Brasília, Brasília",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Svein Oddvar Moen (4th),2014-06-15,Ravshan Irmatov,NA,Group stage,Brazil,2014,N,0
Honduras,0,NA,NA,Luis Suárez,NA,Wilson Palacios · 43,43012,"Estádio José Pinheiro Borba, Porto Alegre",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Peter O'Leary (4th),2014-06-15,Sandro Ricci,NA,Group stage,Brazil,2014,N,0
Bosnia and Herzegovina,1,NA,NA,Safet Sušić,NA,Vedad Ibišević · 85,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Djamel Haïmoudi (4th),2014-06-15,Joel Aguilar,NA,Group stage,Brazil,2014,N,0
Greece,0,NA,NA,Fernando Santos,NA,NA,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte",Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th),2014-06-14,Mark Geiger,NA,Group stage,Brazil,2014,N,0
Costa Rica,3,NA,NA,Jorge Luis Pinto,NA,Joel Campbell · 54|Óscar Duarte · 57|Marco Ureña · 84,58679,"Estádio Castelão, Fortaleza",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Víctor Carrillo (4th),2014-06-14,Felix Brych,NA,Group stage,Brazil,2014,N,1
Italy,2,NA,NA,Cesare Prandelli,NA,Claudio Marchisio · 35|Mario Balotelli · 50,39800,"Arena da Amazônia, Manaus",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Walter López (4th),2014-06-14,Björn Kuipers,NA,Group stage,Brazil,2014,N,1
Japan,1,NA,NA,Alberto Zaccheroni,NA,Keisuke Honda · 16,40267,"Itaipava Arena Pernambuco, Recife",Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th),2014-06-14,Enrique Osses,NA,Group stage,Brazil,2014,N,0
Cameroon,0,NA,NA,Volker Finke,NA,NA,39216,"Arena das Dunas, Natal",Wilmar Roldán (Referee) · Humberto Clavijo (AR1) · Eduardo Díaz (AR2) · Norbert Hauata (4th),2014-06-13,Wilmar Roldán,NA,Group stage,Brazil,2014,N,0
Netherlands,5,NA,NA,Louis van Gaal,NA,Robin van Persie · 44|Arjen Robben · 53|Stefan de Vrij · 65|Robin van Persie · 72|Arjen Robben · 80,48173,"Itaipava Arena Fonte Nova, Salvador",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),2014-06-13,Nicola Rizzoli,NA,Group stage,Brazil,2014,N,1
Australia,1,NA,NA,Ange Postecoglou,NA,Tim Cahill · 35,40275,"Arena Pantanal, Cuiabá",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Roberto Moreno (4th),2014-06-13,Noumandiez Doué,NA,Group stage,Brazil,2014,N,0
Croatia,1,NA,NA,Niko Kovač,NA,Marcelo (OG) · 11,62103,"Arena Corinthians, São Paulo",Yuichi Nishimura (Referee) · Toru Sagara (AR1) · Toshiyuki Nagi (AR2) · Alireza Faghani (4th),2014-06-12,Yuichi Nishimura,NA,Group stage,Brazil,2014,N,0
Spain,1,NA,NA,Vicente del Bosque,NA,Andrés Iniesta · 116,84490,"Soccer City, Johannesburg",Howard Webb (Referee) · Darren Cann (AR1) · Michael Mullarkey (AR2) · Yuichi Nishimura (4th),2010-07-11,Howard Webb,Required Extra Time,Final,South Africa,2010,N,1
Germany,3,NA,NA,Joachim Löw,NA,Thomas Müller · 19|Marcell Jansen · 56|Sami Khedira · 82,36254,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-07-10,NA,NA,Third-place match,South Africa,2010,N,1
Spain,1,NA,NA,Vicente del Bosque,NA,Carles Puyol · 73,60960,"Moses Mabhida Stadium, Durban",NA,2010-07-07,NA,NA,Semi-finals,South Africa,2010,N,1
Netherlands,3,NA,NA,Bert van Marwijk,NA,Giovanni van Bronckhorst · 18|Wesley Sneijder · 70|Arjen Robben · 73,62479,"Cape Town Stadium, Cape Town",NA,2010-07-06,NA,NA,Semi-finals,South Africa,2010,N,1
Germany,4,NA,NA,Joachim Löw,NA,Thomas Müller · 3|Miroslav Klose · 68|Arne Friedrich · 74|Miroslav Klose · 89,64100,"Cape Town Stadium, Cape Town",NA,2010-07-03,NA,NA,Quarter-finals,South Africa,2010,N,1
Spain,1,NA,NA,Vicente del Bosque,NA,David Villa · 83,55359,"Emirates Airline Park, Johannesburg",NA,2010-07-03,NA,NA,Quarter-finals,South Africa,2010,N,1
Brazil,1,NA,NA,Dunga,NA,Robinho · 10,40186,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-07-02,NA,NA,Quarter-finals,South Africa,2010,N,0
Ghana,1,NA,2,Milovan Rajevac,NA,Sulley Muntari · 45+2,84017,"Soccer City, Johannesburg",NA,2010-07-02,NA,Uruguay won on penalty kicks following extra time,Quarter-finals,South Africa,2010,N,0.5
Japan,0,NA,3,Takeshi Okada,NA,NA,36742,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-29,NA,Paraguay won on penalty kicks following extra time,Round of 16,South Africa,2010,N,0.5
Portugal,0,NA,NA,Carlos Queiroz,NA,Ricardo Costa · 89,62955,"Cape Town Stadium, Cape Town",NA,2010-06-29,NA,NA,Round of 16,South Africa,2010,N,0
Slovakia,1,NA,NA,Vladimír Weiss,NA,Róbert Vittek (P) · 90+4,61962,"Moses Mabhida Stadium, Durban",NA,2010-06-28,NA,NA,Round of 16,South Africa,2010,N,0
Chile,0,NA,NA,Marcelo Bielsa,NA,NA,54096,"Emirates Airline Park, Johannesburg",NA,2010-06-28,NA,NA,Round of 16,South Africa,2010,N,0
England,1,NA,NA,Fabio Capello,NA,Matthew Upson · 37,40510,"Toyota Stadium, Bloemfontein",NA,2010-06-27,NA,NA,Round of 16,South Africa,2010,N,0
Mexico,1,NA,NA,Javier Aguirre,NA,Javier Hernández · 71,84377,"Soccer City, Johannesburg",NA,2010-06-27,NA,NA,Round of 16,South Africa,2010,N,0
Korea Republic,1,NA,NA,Huh Jung-moo,NA,Lee Chung-yong · 68,30597,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-26,NA,NA,Round of 16,South Africa,2010,N,0
Ghana,2,NA,NA,Milovan Rajevac,NA,Kevin-Prince Boateng · 5|Asamoah Gyan · 93,34976,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-26,NA,Required Extra Time,Round of 16,South Africa,2010,N,1
Brazil,0,NA,NA,Dunga,NA,NA,62712,"Moses Mabhida Stadium, Durban",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,N,0.5
Côte d'Ivoire,3,NA,NA,Sven-Göran Eriksson,NA,Yaya Touré · 14|Romaric · 20|Salomon Kalou · 82,34763,"Mbombela Stadium, Nelspruit",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,N,1
Spain,2,NA,NA,Vicente del Bosque,NA,David Villa · 24|Andrés Iniesta · 37,41958,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,N,1
Honduras,0,NA,NA,Reinaldo Rueda,NA,NA,28042,"Toyota Stadium, Bloemfontein",NA,2010-06-25,NA,NA,Group stage,South Africa,2010,N,0.5
New Zealand,0,NA,NA,Ricki Herbert,NA,NA,34850,"Peter Mokaba Stadium, Polokwane",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,N,0.5
Italy,2,NA,NA,Marcello Lippi,NA,Antonio Di Natale · 81|Fabio Quagliarella · 90+2,53412,"Emirates Airline Park, Johannesburg",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,N,0
Japan,3,NA,NA,Takeshi Okada,NA,Keisuke Honda · 17|Yasuhito Endō · 30|Shinji Okazaki · 87,27967,"Royal Bafokeng Stadium, Phokeng",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,N,1
Netherlands,2,NA,NA,Bert van Marwijk,NA,Robin van Persie · 36|Klaas-Jan Huntelaar · 83,63093,"Cape Town Stadium, Cape Town",NA,2010-06-24,NA,NA,Group stage,South Africa,2010,N,1
England,1,NA,NA,Fabio Capello,NA,Jermain Defoe · 23,36893,"Nelson Mandela Bay Stadium, Port Elizabeth",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,N,1
Algeria,0,NA,NA,Rabah Saâdane,NA,Antar Yahia · 90+3,35827,"Loftus Versfeld Stadium, Pretoria",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,N,0
Germany,1,NA,NA,Joachim Löw,NA,Mesut Özil · 60,83391,"Soccer City, Johannesburg",NA,2010-06-23,NA,NA,Group stage,South Africa,2010,N,1
