team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Portugal,3,NA,NA,Otto Gloria,Mário Coluna,António Simões · 15|Eusébio · 27|Eusébio · 85,58479,"Goodison Park, Liverpool",George Mccabe (Referee) · Leo Callaghan (AR1) · Kenneth Dagnall (AR2),1966-07-19,George Mccabe,NA,Group stage,England,1966,Y,1
Korea DPR,1,NA,NA,Rye Hyun Myung,Pak Seung-zin,Pak Doo-ik · 42,17829,"Ayresome Park, Middlesbrough",Pierre Schwinte (Referee) · John Adair (AR1) · John Taylor (AR2),1966-07-19,Pierre Schwinte,NA,Group stage,England,1966,Y,1
West Germany,0,NA,NA,Helmut Schoen,Uwe Seeler,NA,46587,"Villa Park, Birmingham",Konstantin Zecevic (Referee) · Joaquim Fernandes Campos (AR1) · Bertil Loeoew (AR2),1966-07-16,Konstantin Zecevic,NA,Group stage,England,1966,Y,0.5
Soviet Union,1,NA,NA,Nikolai Morozov,Albert Shesternyov,Igor Chislenko · 57,27793,"Roker Park Ground, Sunderland",Rudolf Kreitlein (Referee) · William Crawford (AR1) · Aly Hussein Kandil (AR2),1966-07-16,Rudolf Kreitlein,NA,Group stage,England,1966,Y,1
Portugal,3,NA,NA,Otto Gloria,Mário Coluna,Ivan Vutsov (OG) · 17|Eusébio · 38|José Augusto Torres · 81,25438,"Old Trafford Stadium, Manchester",Jose Maria Codesal (Referee) · Roberto Goicoechea (AR1) · Kurt Tschenscher (AR2),1966-07-16,Jose Maria Codesal,NA,Group stage,England,1966,Y,1
England,2,NA,NA,Alf Ramsey,Bobby Moore,Bobby Charlton · 37|Roger Hunt · 75,92570,"Wembley Stadium, London",Concetto Lo Bello (Referee) · Duk Ryong Choi (AR1) · Menachem Ashkenazi (AR2),1966-07-16,Concetto Lo Bello,NA,Group stage,England,1966,Y,1
Spain,2,NA,NA,Jose Villalonga,Francisco Gento,Manuel Sanchís · 57|Amancio Amaro · 75,32028,"Hillsborough, Sheffield",Tofik Bakhramov (Referee) · Istvan Zsolt (AR1) · Hugh Phillips (AR2),1966-07-15,Tofik Bakhramov,NA,Group stage,England,1966,Y,1
Uruguay,2,NA,NA,Ondino Viera,Horacio Troche,Pedro Rocha · 26|Julio César Cortés · 31,45662,"White City, London",Karol Galba (Referee) · Leo Callaghan (AR1) · Armando Marques (AR2),1966-07-15,Karol Galba,NA,Group stage,England,1966,Y,1
Hungary,3,NA,NA,Lajos Baroti,Ferenc Sipos,Ferenc Bene · 2|János Farkas · 64|Kálmán Mészöly (P) · 73,51387,"Goodison Park, Liverpool",Kenneth Dagnall (Referee) · Kevin Howley (AR1) · Arturo Yamasaki Maldonado (AR2),1966-07-15,Kenneth Dagnall,NA,Group stage,England,1966,Y,1
Korea DPR,1,NA,NA,Rye Hyun Myung,Pak Seung-zin,Pak Seung-zin · 88,13792,"Ayresome Park, Middlesbrough",Aly Hussein Kandil (Referee) · William Crawford (AR1) · Jim Finney (AR2),1966-07-15,Aly Hussein Kandil,NA,Group stage,England,1966,Y,0.5
Argentina,2,NA,NA,Juan Carlos Lorenzo,Antonio Rattín,Luis Artime · 65|Luis Artime · 79,42738,"Villa Park, Birmingham",Dimitar Rumentchev (Referee) · Arturo Yamasaki Maldonado (AR1) · Konstantin Zecevic (AR2),1966-07-13,Dimitar Rumentchev,NA,Group stage,England,1966,Y,1
France,1,NA,NA,Henri Guerin,Marcel Artelesa,Gérard Hausser · 62,69237,"Wembley Stadium, London",Menachem Ashkenazi (Referee) · Joaquim Fernandes Campos (AR1) · Karol Galba (AR2),1966-07-13,Menachem Ashkenazi,NA,Group stage,England,1966,Y,0.5
